6 35 -326 -106 2143 3653 4338 2828 3935 4232 3547 3250 4209 3102 3787 2828 4338 3653 2143 3250 4209 3102 3787 2828 4338 3653 2143 3250 4209 3102 3787 2828 4338 3653 2143 3250 4209 3102 1226 17 0.01045813799999995
102 35 0 3200 -6 480 2589 2109 0 3200 -6 480 2589 2109 0 3200 -6 480 2589 2109 0 3200 -6 480 2589 2109 0 3200 -6 480 2589 2109 0 3200 -6 480 2589 2109 1226 6 0.010347205000000192
141 35 0 5022 -1 1674 0 -10 -11 1674 -1 5022 0 1674 -11 -10 0 5022 -1 1674 0 -10 -11 1674 -1 5022 0 1674 -11 -10 0 5022 -1 1674 0 -10 -11 1674 1226 14 0.010644083000000082
259 35 0 4096 -13 691 2431 1740 3458 1718 2895 1177 2917 1740 3458 1718 2895 1177 2917 1740 3458 1718 2895 1177 2917 1740 3458 1718 2895 1177 2917 1740 3458 1718 2895 1177 2917 1740 1226 11 0.010120627000000049
295 35 0 5843 -1 922 3345 5607 5717 4795 4685 5607 3345 3821 2899 2423 4685 5607 5717 4795 4685 2423 3345 5607 5717 4795 4685 5607 3345 3821 2899 2423 4685 5607 5717 4795 4685 2423 1226 16 0.010921132
367 35 0 3200 -7 1914 3730 1816 3096 1280 3194 4037 2757 1914 3730 1816 3096 1280 3194 4037 2757 1914 3730 1816 3096 1280 3194 4037 2757 1914 3730 1816 3096 1280 3194 4037 2757 1914 1226 11 0.01505761799999994
386 35 0 4286 -1 365 2508 2975 3394 3029 2610 2975 2508 2927 3394 3029 2610 2975 3394 2927 2562 3029 3394 2975 2610 3029 2562 2927 3394 3029 2610 2975 3394 2927 2562 3029 3394 2975 1226 21 0.010722840999999983
405 35 0 2817 -4 1193 2738 1545 0 2817 -4 1193 2738 1545 0 2817 -4 1193 2738 1545 0 2817 -4 1193 2738 1545 0 2817 -4 1193 2738 1545 0 2817 -4 1193 2738 1545 1226 6 0.01001436499999997
644 35 0 13562 -4 2170 0 694 -4 2170 -4 13562 0 2170 -4 694 0 13562 -4 2170 0 694 -4 2170 -4 13562 0 2170 -4 694 0 13562 -4 2170 0 694 -4 2170 1226 14 0.010616724999999994
651 35 0 6209 -10 2129 4132 5012 3009 2129 3077 948 0 6209 -10 2129 4132 5012 3009 2129 3077 948 0 6209 -10 2129 4132 5012 3009 2129 3077 948 0 6209 -10 2129 4132 5012 1226 10 0.009992314000000002
657 35 0 2936 -4 1202 1865 663 0 2936 -4 1202 1865 663 0 2936 -4 1202 1865 663 0 2936 -4 1202 1865 663 0 2936 -4 1202 1865 663 0 2936 -4 1202 1865 663 1226 6 0.009599375999999937
688 35 0 5258 -5 846 3219 4673 3827 2373 3219 846 3130 4584 5247 4401 3738 4584 3130 3793 5247 4584 3738 4401 5247 3793 3130 4584 5247 4401 3738 4584 3130 3793 5247 4584 3738 4401 1226 24 0.00998804100000017
707 35 -218 2659 1898 4085 5918 7750 8909 7077 7407 6248 8080 7750 8909 7077 7407 6248 8080 7750 8909 7077 7407 6248 8080 7750 8909 7077 7407 6248 8080 7750 8909 7077 7407 6248 8080 7750 1226 11 0.009218439999999939
864 35 -387 -140 1418 3900 5131 3713 5964 7055 5824 6898 5807 7038 8049 6975 7815 6804 7878 7038 8049 6975 7815 6804 7878 7038 8049 6975 7815 6804 7878 7038 8049 6975 7815 6804 7878 7038 1226 17 0.00916729500000013
1153 35 0 4934 -6 509 2983 2474 0 4934 -6 509 2983 2474 0 4934 -6 509 2983 2474 0 4934 -6 509 2983 2474 0 4934 -6 509 2983 2474 0 4934 -6 509 2983 2474 1226 6 0.009094616999999916
1169 35 0 3678 -6 1440 3664 2224 0 3678 -6 1440 3664 2224 0 3678 -6 1440 3664 2224 0 3678 -6 1440 3664 2224 0 3678 -6 1440 3664 2224 0 3678 -6 1440 3664 2224 1226 6 0.010027868999999967
1322 35 0 5231 -7 1481 3650 2169 3310 1141 2622 1481 3650 2169 3310 1141 2622 1481 3650 2169 3310 1141 2622 1481 3650 2169 3310 1141 2622 1481 3650 2169 3310 1141 2622 1481 3650 2169 1226 9 0.009410577000000142
1342 35 0 3795 -4 1209 3038 3635 2426 1829 3038 3282 2073 1829 2426 3635 3038 3282 2073 1829 3038 3635 2426 1829 2073 3282 3038 3635 2426 1829 3038 3282 2073 1829 2426 3635 3038 3282 1226 17 0.00910191699999996
1367 35 0 6447 -19 1302 3719 2417 3955 1538 3796 2258 3705 1447 3864 2417 3955 1538 3796 2258 3705 1447 3864 2417 3955 1538 3796 2258 3705 1447 3864 2417 3955 1538 3796 2258 3705 1447 1226 13 0.00921771799999993
1394 35 -170 3523 5987 4826 6759 4397 6740 7901 5968 7154 5993 4807 6740 7901 5968 7154 5993 4807 6740 7901 5968 7154 5993 4807 6740 7901 5968 7154 5993 4807 6740 7901 5968 7154 5993 4807 1226 12 0.009328167999999915
1453 35 0 2464 -26 1068 0 1653 -23 1068 -7 81 0 2464 -26 1068 0 1653 -23 1068 -7 81 0 2464 -26 1068 0 1653 -23 1068 -7 81 0 2464 -26 1068 0 1653 1226 10 0.009230821000000056
1482 35 0 6828 -10 2207 4573 6588 6768 4753 4573 2366 4381 6588 6768 4753 4573 6588 4381 4561 6768 6588 4573 4753 6768 4561 4381 6588 6768 4753 4573 6588 4381 4561 6768 6588 4573 4753 1226 20 0.00911070699999983
1513 35 0 5434 -5 1389 3859 3868 2479 2470 3859 1389 2075 686 0 5434 -5 1389 3859 3868 2479 2470 3859 1389 2075 686 0 5434 -5 1389 3859 3868 2479 2470 3859 1389 2075 686 1226 12 0.009453640999999902
1521 35 0 9557 -2 13 2458 4740 6375 7945 7932 6362 7531 7544 6375 7945 7932 6362 7531 7544 6375 7945 7932 6362 7531 7544 6375 7945 7932 6362 7531 7544 6375 7945 7932 6362 7531 7544 1226 12 0.009336902999999896
