12 37 0 5400 -5 1936 4118 4817 2881 2182 4118 4425 2489 2182 2881 4817 4118 4425 2489 2182 4118 4817 2881 2182 2489 4425 4118 4817 2881 2182 4118 4425 2489 2182 2881 4817 4118 4425 2489 2182 1370 17 0.011377044999999919
45 37 -269 -29 1988 3951 5851 3888 5559 3659 5622 7467 8528 6857 7845 6784 8455 9149 8161 7467 8528 6857 7845 6784 8455 9149 8161 7467 8528 6857 7845 6784 8455 9149 8161 7467 8528 6857 7845 6784 1370 17 0.010755895000000182
74 37 -39 2844 4984 6745 7972 8178 7781 7575 7972 6745 6951 8178 7972 7575 7781 8178 6951 6745 7972 8178 7781 7575 7972 6745 6951 8178 7972 7575 7781 8178 6951 6745 7972 8178 7781 7575 7972 6745 1370 17 0.010629800000000023
181 37 0 4023 -14 1876 3659 1783 3284 1501 3377 1876 3659 1783 3284 1501 3377 1876 3659 1783 3284 1501 3377 1876 3659 1783 3284 1501 3377 1876 3659 1783 3284 1501 3377 1876 3659 1783 3284 1501 1370 9 0.010468880999999985
190 37 0 5801 -4 2499 3627 4533 3405 2499 3058 4186 3627 4533 3405 2499 3627 4186 3058 2499 3405 4533 3627 4186 3058 2499 3627 4533 3405 2499 3058 4186 3627 4533 3405 2499 3627 4186 3058 2499 1370 16 0.010438308000000118
223 37 0 2982 -13 67 0 2276 -4 67 -13 2982 0 2276 -4 67 0 2982 -13 67 -4 2276 0 2982 -13 67 0 2276 -4 67 -13 2982 0 2276 -4 67 0 2982 -13 67 1370 13 0.010303658999999854
323 37 0 2543 -7 937 1433 496 0 2543 -7 937 1433 496 0 2543 -7 937 1433 496 0 2543 -7 937 1433 496 0 2543 -7 937 1433 496 0 2543 -7 937 1433 496 0 2543 1370 6 0.010440465000000065
339 37 0 8849 -13 187 2479 4550 4363 5834 3763 3950 2479 4550 4363 5834 3763 3950 2479 4550 4363 5834 3763 3950 2479 4550 4363 5834 3763 3950 2479 4550 4363 5834 3763 3950 2479 4550 4363 5834 1370 10 0.010377283000000181
345 37 0 18616 -1 1432 1583 1693 1542 1432 0 18616 -1 1432 1583 1693 1542 1432 0 18616 -1 1432 1583 1693 1542 1432 0 18616 -1 1432 1583 1693 1542 1432 0 18616 -1 1432 1583 1693 1370 8 0.010693712999999994
425 37 0 3663 -18 499 2918 2419 0 3663 -18 499 2918 2419 0 3663 -18 499 2918 2419 0 3663 -18 499 2918 2419 0 3663 -18 499 2918 2419 0 3663 -18 499 2918 2419 0 3663 1370 6 0.010312152000000019
540 37 -110 1316 1994 1355 3786 6054 5377 6885 6207 4699 6113 3845 5353 3939 6207 6885 5377 6710 6032 4699 6207 6885 5377 6710 6032 4699 6207 6885 5377 6710 6032 4699 6207 6885 5377 6710 6032 4699 1370 20 0.010227435999999868
553 37 0 4265 -2 1374 2867 3029 1655 1493 2867 1374 2222 848 2341 1493 2867 3029 1655 1493 2341 848 2222 1374 2867 3029 1655 1493 2867 1374 2222 848 2341 1493 2867 3029 1655 1493 2341 848 1370 17 0.010259495999999979
