1 4 6431 1 1 0 1 8.2962e-05
2 4 7012 1 1 1 0 4.438e-06
3 4 10412 0 1 1 1 3.16e-06
4 4 7089 1 0 1 1 3.115e-06
5 4 8563 1 1 0 1 2.905e-06
6 4 9328 1 1 1 0 2.898e-06
7 4 9214 1 1 0 1 2.766e-06
8 4 12792 1 1 1 0 2.803e-06
9 4 6901 1 0 1 1 2.811e-06
10 4 9404 1 0 1 1 2.866e-06
11 4 9547 1 1 1 0 2.824e-06
12 4 6576 1 1 0 1 2.91e-06
13 4 11595 1 1 0 1 5.2e-06
14 4 7942 1 0 1 1 2.89e-06
15 4 9223 1 1 0 1 2.863e-06
16 4 6079 1 1 0 1 2.821e-06
17 4 8940 1 1 0 1 2.742e-06
18 4 9381 1 1 1 0 2.79e-06
19 4 10576 0 1 1 1 2.91e-06
20 4 9836 1 1 1 0 2.905e-06
21 4 11141 1 1 0 1 2.799e-06
22 4 9819 1 0 1 1 2.878e-06
23 4 8968 1 1 1 0 2.842e-06
24 4 10878 1 0 1 1 2.809e-06
25 4 7538 1 1 1 0 2.84e-06
26 4 8029 1 1 0 1 4.705e-06
27 4 9374 1 1 0 1 2.812e-06
28 4 8145 0 1 1 1 2.848e-06
29 4 7989 0 1 1 1 2.905e-06
30 4 11594 1 1 0 1 2.746e-06
31 4 9011 1 0 1 1 2.87e-06
32 4 11785 1 0 1 1 2.854e-06
33 4 12278 1 1 1 0 2.795e-06
34 4 10096 1 0 1 1 2.883e-06
35 4 13545 1 1 0 1 2.754e-06
36 4 5918 1 1 1 0 2.757e-06
37 4 6880 1 1 1 0 2.825e-06
38 4 8629 1 1 1 0 2.759e-06
39 4 9796 0 1 1 1 4.801e-06
40 4 5451 1 1 1 0 2.843e-06
41 4 10537 1 0 1 1 2.85e-06
42 4 8800 1 1 0 1 2.839e-06
43 4 11395 1 1 1 0 2.847e-06
44 4 5947 0 1 0 1 2.806e-06
45 4 9929 1 1 1 0 2.81e-06
46 4 5082 1 1 1 0 2.686e-06
47 4 13900 0 1 1 1 2.95e-06
48 4 10430 1 1 1 0 2.812e-06
49 4 9932 1 0 1 1 2.807e-06
50 4 10095 1 0 1 1 2.811e-06
