1 4 0 1129 -33 3 0 -103 -139 3 -192 -156 0 -431 1129 -146 -103 -305 -156 65 15 0.0006831000000000476
2 4 -99 -25 2043 1503 2966 1463 0 1503 1654 151 691 540 2043 -38 2966 -34 1654 65 16 0.0005034939999999377
3 4 0 -46 -260 -192 0 -216 -284 -46 -291 -223 0 -766 -46 -766 0 -766 -192 65 13 0.0004981520000000295
4 4 -37 0 70 -49 -26 0 -102 -125 70 -60 -37 -155 -26 -220 -102 -231 -37 65 16 0.0004894859999999834
5 4 -215 -15 1525 2528 1003 2758 1755 0 1525 -79 1755 -93 221 1224 1003 0 221 65 16 0.0005172540000000225
6 4 0 1641 -72 -64 0 -73 -81 1641 -231 -223 0 -402 1641 -402 0 -402 -64 65 13 0.0004786269999998982
7 4 -10 4607 3179 4054 2551 3979 3104 4607 2931 3806 2378 4054 -10 3979 2303 3806 -10 65 16 0.0004906680000000829
8 4 -233 -25 2081 4422 2341 0 2081 -73 -58 0 -10 -25 -67 4422 -115 -73 -233 65 16 0.00048231600000003816
9 4 -175 3451 2959 1635 2127 3451 1816 1324 2959 -116 2040 2532 2127 492 1816 -101 897 65 16 0.0004849190000000281
10 4 -71 0 744 -135 -49 0 -74 -160 744 -157 -71 -285 -49 -288 -74 -310 -71 65 16 0.00047974799999983553
11 4 -232 4774 4236 2155 2693 4774 2619 2081 4236 -182 -35 2081 0 2155 -48 1067 1605 65 16 0.00048237500000003486
12 4 -87 863 1538 675 0 863 -101 -84 0 -70 -87 -105 1538 -119 -101 -264 -87 65 16 0.0004793290000000283
13 4 -162 5798 4282 2405 3921 5798 3393 1877 4282 -42 3540 5056 3921 1516 3393 -140 2651 65 16 0.0004964110000000854
14 4 3972 3627 1858 2203 3972 2114 1769 3627 -159 -47 1769 0 1858 -82 115 0 345 65 16 0.0004810680000000289
15 4 -211 -30 4117 2167 3513 1346 1841 495 2662 2167 0 1950 4117 -128 3513 -37 2662 65 16 0.0004802839999999975
16 4 -155 2603 2261 2698 437 779 342 2603 -42 2698 -151 -63 437 0 2261 -72 269 65 16 0.0004729150000000182
17 4 0 -109 -280 -137 0 -151 -294 -109 -347 -204 0 -738 -109 -738 0 -738 -137 65 13 0.0004887479999999833
18 4 -34 2453 0 1988 -48 250 0 -59 -114 250 -34 -129 -48 -209 -114 -195 -34 65 16 0.00047973800000011835
19 4 -237 -3 3999 2319 3609 1290 2970 1680 3999 -5 3575 2319 0 1680 2936 1256 3575 65 16 0.0004930699999998733
20 4 -168 4919 4415 2414 4349 1935 3936 4440 2505 4919 2918 2414 0 2001 4415 -116 4349 65 16 0.0004939379999999716
21 4 0 2098 -21 -4 0 -68 -85 2098 -158 -141 0 -390 2098 -390 0 -390 -4 65 13 0.00048767799999982486
22 4 -76 0 1382 -179 -76 -298 -81 0 -86 -189 1382 -184 -81 -308 -86 -303 -76 65 16 0.000485834999999879
23 4 -24 4485 3455 4408 2838 3868 2915 4485 2600 3553 2523 4408 -24 3868 1983 3553 -24 65 16 0.00047570000000018986
24 4 -35 3450 3611 2421 2260 3450 1190 3180 1990 0 2260 -10 1990 -115 161 2421 -162 65 16 0.0004794839999999745
25 4 -208 3102 2773 1585 2582 997 2185 1188 2773 -15 2582 -35 1914 3102 1517 1188 0 65 16 0.00048519500000021587
26 4 -245 -8 1593 2551 958 2423 1465 0 1593 -52 -20 0 958 -36 -20 -213 1465 65 16 0.00048016900000003027
