6 35 -326 -106 2143 3653 4338 2828 3935 4232 3547 3250 4209 3102 3787 2828 4338 3653 2143 3250 4209 3102 3787 2828 4338 3653 2143 3250 4209 3102 3787 2828 4338 3653 2143 3250 4209 3102 1226 17 0.01126402900000012
102 35 0 3200 -6 480 2589 2109 0 1393 1873 480 856 376 0 3200 -6 480 2589 2109 0 1393 1873 480 856 376 0 3200 -6 480 2589 2109 0 1393 1873 480 856 376 1226 12 0.010316667999999973
141 35 0 5022 -1 1674 0 -10 -11 1674 -30 -29 0 5022 -1 1674 0 -10 -11 1674 -30 -29 0 5022 -1 1674 0 -10 -11 1674 -30 -29 0 5022 -1 1674 0 -10 1226 10 0.010094677999999968
259 35 0 4096 -13 691 2431 1740 3458 1718 2895 1177 2917 1740 2437 697 1388 691 2431 1740 3458 1718 2895 1177 2917 1740 2437 697 1388 691 2431 1740 3458 1718 2895 1177 2917 1740 1226 15 0.00989413700000008
295 35 0 5843 -1 922 3345 5607 5717 4795 4685 5607 3184 3294 5717 5607 3345 3821 2899 2423 4685 5607 5717 4795 4685 2262 3184 5607 4685 2423 3345 5607 5717 4795 4685 5607 3184 3294 1226 24 0.009846223000000043
367 35 0 3200 -7 1914 3730 1816 3096 1280 3194 4037 2757 1914 3730 1816 3096 1280 3194 4037 2757 1914 3730 1816 3096 1280 3194 4037 2757 1914 3730 1816 3096 1280 3194 4037 2757 1914 1226 11 0.009710506000000008
386 35 0 4286 -1 365 2508 2975 3394 3029 2610 2975 832 1251 3394 2975 2508 2927 3394 3029 2610 2975 3394 1251 886 3029 3394 2927 2562 3029 2610 2975 3394 3029 886 1251 3394 2927 1226 25 0.009958729000000055
405 35 0 2817 -4 1193 2738 1545 0 1383 -4 1193 2198 1005 0 2817 -4 1193 2738 1545 0 1383 -4 1193 2198 1005 0 2817 -4 1193 2738 1545 0 1383 -4 1193 2198 1005 1226 12 0.009691517000000038
644 35 0 13562 -4 2170 0 694 -4 2170 -11 -7 0 13562 -4 2170 0 694 -4 2170 -11 -7 0 13562 -4 2170 0 694 -4 2170 -11 -7 0 13562 -4 2170 0 694 1226 10 0.00991143899999991
651 35 0 6209 -10 2129 4132 5012 3009 2129 3077 948 0 6209 -10 2129 4132 5012 3009 2129 3077 948 0 6209 -10 2129 4132 5012 3009 2129 3077 948 0 6209 -10 2129 4132 5012 1226 10 0.009854841999999975
657 35 0 2936 -4 1202 1865 663 0 1202 -24 -20 0 2936 -4 1202 1865 663 0 1202 -24 -20 0 2936 -4 1202 1865 663 0 1202 -24 -20 0 2936 -4 1202 1865 663 1226 10 0.00995549200000001
688 35 0 5258 -5 846 3219 4673 3827 2373 3219 -20 1509 3793 5247 4584 3738 4401 5247 2963 3182 2519 2300 4673 3827 2373 3219 4673 -27 2963 5247 4584 3738 4401 5247 3793 3130 4584 1226 27 0.009950362000000101
707 35 -218 2659 1898 4085 5918 7750 8909 7077 7407 6248 8080 7750 5918 7296 5463 7295 5917 7750 8909 7077 7407 6248 8080 7750 5918 7296 5463 7295 5917 7750 8909 7077 7407 6248 8080 7750 1226 17 0.010020228999999992
864 35 -387 -140 1418 3900 5131 3713 5964 7055 5824 6898 5807 7038 8049 6975 7815 6804 7878 7038 7819 6745 7756 6975 8049 7038 7878 6804 7815 6975 7756 6745 7819 7038 8049 6975 7815 6804 1226 31 0.009216973000000017
1153 35 0 4934 -6 509 2983 2474 0 2396 4239 4748 2905 3683 3174 2396 3676 1280 3123 1843 4239 4748 2905 3683 3174 2396 4239 1843 3123 1280 3676 2396 3174 3683 2905 4748 4239 2396 1226 29 0.009413839000000035
1169 35 0 3678 -6 1440 3664 2224 0 1440 -2 225 0 3678 -6 1440 3664 2224 0 1440 -2 225 0 3678 -6 1440 3664 2224 0 1440 -2 225 0 3678 -6 1440 3664 2224 1226 10 0.009340853999999954
1322 35 0 5231 -7 1481 3650 2169 3310 1141 2622 1481 3454 1973 0 5231 -7 1481 3650 2169 3310 1141 2622 1481 3454 1973 0 5231 -7 1481 3650 2169 3310 1141 2622 1481 3454 1973 1226 12 0.00934260099999995
1342 35 0 3795 -4 1209 3038 3635 2426 1829 3038 3282 2073 1829 1936 3145 3038 3635 2426 1829 3038 3282 2073 1829 1936 3145 3038 3635 2426 1829 3038 3282 2073 1829 1936 3145 3038 3635 1226 14 0.009294570000000002
1367 35 0 6447 -19 1302 3719 2417 3955 1538 3796 2258 3705 1447 3864 2417 3955 1538 3796 2258 3705 1447 3864 2417 3955 1538 3796 2258 3705 1447 3864 2417 3955 1538 3796 2258 3705 1447 1226 13 0.009389300000000045
1394 35 -170 3523 5987 4826 6759 4397 6740 7901 5968 7154 5993 4807 6740 4397 6759 4826 5987 3625 5968 7901 6740 4807 6627 4284 6433 8366 10139 8319 9505 10666 9480 8319 9499 7726 8912 7732 1226 35 0.009310316000000096
1453 35 0 2464 -26 1068 0 1653 -23 1068 -7 81 0 2464 -26 1068 0 1653 -23 1068 -7 81 0 2464 -26 1068 0 1653 -23 1068 -7 81 0 2464 -26 1068 0 1653 1226 10 0.009429741000000158
1482 35 0 6828 -10 2207 4573 6588 6768 4753 4573 2366 4381 6588 4573 2207 4222 6588 6768 4753 4573 6588 4381 4561 6768 6588 4222 4402 6768 4753 4573 6588 6768 4561 4381 6588 4222 4402 1226 24 0.009664200999999872
1513 35 0 5434 -5 1389 3859 3868 2479 2470 3859 -2 2928 2470 0 5434 -5 1389 3859 3868 2479 2470 3859 -2 2928 2470 0 5434 -5 1389 3859 3868 2479 2470 3859 -2 2928 2470 1226 12 0.009583399999999909
1521 35 0 9557 -2 13 2458 4740 6375 7945 7932 6362 7531 7544 6375 6927 6914 6362 7932 7945 6375 7544 7531 6362 6914 6927 6375 7945 7932 6362 7531 7544 6375 6927 6914 6362 7932 7945 1226 24 0.009391665000000105
1548 35 0 5947 -2 2248 3757 4703 3194 3605 2659 4168 3757 4328 2819 3230 2659 3605 3194 4703 3757 4328 2819 3230 2659 4168 3757 4703 3194 3605 2659 3230 2819 4328 3757 4703 3194 3605 1226 22 0.0092077450000001
1589 35 0 3085 -1 774 2574 1800 0 796 1570 774 0 3085 -1 774 2574 1800 0 796 1570 774 0 3085 -1 774 2574 1800 0 796 1570 774 0 3085 -1 774 2574 1800 1226 10 0.009222207000000093
1638 35 0 5972 -1 1615 3356 4410 2795 1741 3356 -3 -1 5972 0 1741 2795 4410 3356 1741 -2 5972 0 1741 2795 4410 3356 1741 -2 5972 0 1741 2795 4410 3356 1741 -2 5972 1226 19 0.009112390000000081
1645 35 -308 3689 5266 4437 5366 5706 4777 4437 3337 5584 6513 6853 5924 5584 4007 5889 4129 6424 7353 5471 7053 6124 4542 6424 6764 4882 6459 7388 7048 6119 7219 5642 6571 6911 5982 5642 1226 35 0.008965160999999888
1801 35 0 2776 -6 228 2195 1967 0 228 -2 85 0 2776 -6 228 2195 1967 0 228 -2 85 0 2776 -6 228 2195 1967 0 228 -2 85 0 2776 -6 228 2195 1967 1226 10 0.008761074000000146
1813 35 0 2861 -17 520 2609 2089 0 673 1193 520 561 41 0 2861 -17 520 2609 2089 0 673 1193 520 561 41 0 2861 -17 520 2609 2089 0 673 1193 520 561 41 1226 12 0.00887777199999995
1839 35 0 4889 -4 1135 3376 2241 0 1135 1641 506 0 4889 -4 1135 3376 2241 0 1135 1641 506 0 4889 -4 1135 3376 2241 0 1135 1641 506 0 4889 -4 1135 3376 2241 1226 10 0.009114371999999982
1843 35 0 6428 -2 1655 3925 4798 3143 2270 4487 2217 3872 5479 6352 4745 5718 4845 3872 4907 3252 4125 3090 4745 6352 5479 3872 4907 3252 4125 3090 4745 6352 5479 3872 4907 3252 4125 1226 24 0.008749221999999834
1955 35 0 2939 -5 726 2079 2925 2199 2816 1970 2696 2079 2558 1832 1353 2199 2925 2079 2696 1970 2816 2199 1353 2128 775 1621 2347 1572 2925 2199 2816 1970 2696 2079 2925 1572 2347 1226 29 0.009223796000000117
