1 40 -258 -13 30411 30158 29842 30155 30408 30095 30411 30077 30390 30137 29824 30158 30411 29891 30386 30133 29817 30130 30383 30070 30386 30052 30365 30112 29799 30185 29869 30182 30435 30122 29869 29483 29934 30187 29736 30185 29932 29483 29817 1601 40 0.011424858000000038
2 40 30867 33316 34316 33999 33677 33994 34316 33934 33617 33999 33593 33910 34316 33999 33677 33994 34316 33934 33617 33999 33593 33910 34316 33999 33677 33994 34316 33934 33617 33999 33593 33910 34316 33999 33677 33994 34316 33934 33617 33999 33593 1601 12 0.010873726999999889
3 40 -539 -300 -61 37959 37548 37949 37505 37916 38270 37869 37515 37959 37548 37949 37505 37916 38270 37869 37515 37959 37548 37949 37505 37916 38270 37869 37515 37959 37548 37949 37505 37916 38270 37869 37515 37959 37548 37949 37505 37916 38270 1601 11 0.011347918000000012
4 40 -105 33566 33210 32732 33427 32869 33361 32801 33359 32867 33427 32835 33327 32769 33412 32920 33398 32838 33430 32952 33427 32835 33395 32920 33412 32852 33410 32918 33396 32838 33430 32952 33427 32835 33395 32920 33412 32852 33410 32918 33396 1601 28 0.012271606999999962
5 40 -479 -243 -11 36203 35644 36258 35541 36244 35630 36241 35538 36255 35644 36258 35541 36244 35630 36241 35538 36255 35644 36258 35541 36244 35630 36241 35538 36255 35644 36258 35541 36244 35630 36241 35538 36255 35644 36258 35541 36244 35630 1601 12 0.011060295000000053
6 40 -133 36803 36455 36064 36412 36803 36408 36060 36455 35982 36330 36803 36455 36064 36412 36803 36408 36060 36455 35982 36330 36803 36455 36064 36412 36803 36408 36060 36455 35982 36330 36803 36455 36064 36412 36803 36408 36060 36455 35982 36330 1601 11 0.011185299000000093
7 40 -309 -61 38341 37965 37458 37834 38341 37715 37339 37965 37332 37708 38341 37965 37458 37834 38341 37715 37339 37965 37332 37708 38341 37965 37458 37834 38341 37715 37339 37965 37332 37708 38341 37965 37458 37834 38341 37715 37339 37965 37332 1601 12 0.010962753999999908
8 40 -430 -182 33925 34393 33727 34392 33924 34354 33689 34355 33925 34393 33727 34392 33924 34354 33689 34355 33925 34393 33727 34392 33924 34354 33689 34355 33925 34393 33727 34392 33924 34354 33689 34355 33925 34393 33727 34392 33924 34354 33689 1601 10 0.011062589999999872
9 40 -177 31794 32160 32433 32067 31794 31393 31759 32160 31752 32025 32433 32160 31794 32067 32433 32032 31759 32160 31752 32025 32433 32160 31794 32067 32433 32032 31759 32160 31752 32025 32433 32160 31794 32067 32433 32032 31759 32160 31752 32025 1601 17 0.010557953000000175
10 40 -391 -143 34654 35172 34782 34264 34712 35102 34654 35172 34584 35032 34642 34194 34782 35172 34654 35102 34712 34264 34782 34264 34654 35172 34782 34194 34642 35032 34584 35172 34654 35102 34712 34264 34782 35172 34654 34264 34782 34194 34642 1601 29 0.010503660999999997
11 40 -131 32065 32410 32677 32418 32151 32410 31940 32207 32677 32332 32073 32418 32677 32410 32151 32418 31948 32207 32677 32332 32073 32418 32677 32410 32151 32418 31948 32207 32677 32332 32073 32418 32677 32410 32151 32418 31948 32207 32677 32332 1601 18 0.010534895000000155
12 40 -305 -55 33496 33758 33493 33231 33496 33213 33475 33758 33432 33170 33496 33758 33493 33231 33496 33213 33475 33758 33432 33170 33496 33758 33493 33231 33496 33213 33475 33758 33432 33170 33496 33758 33493 33231 33496 33213 33475 33758 33432 1601 12 0.010543417000000055
13 40 34554 35429 35178 34778 35029 35429 35019 34768 35178 34659 34910 35429 35178 34778 35029 35429 35019 34768 35178 34659 34910 35429 35178 34778 35029 35429 35019 34768 35178 34659 34910 35429 35178 34778 35029 35429 35019 34768 35178 34659 34910 1601 11 0.011711995999999836
14 40 -107 33902 33313 33950 33356 33945 33326 33920 33331 33950 33329 33918 33324 33945 33356 33950 33313 33902 33308 33945 33326 33920 33331 33950 33356 33945 33324 33918 33329 33950 33313 33902 33308 33945 33356 33950 33331 33920 33326 33945 33324 1601 27 0.010429529000000048
15 40 -813 -573 -342 -116 39636 40224 40480 40117 40627 40371 39896 40259 40515 40152 40627 40108 40471 40215 39852 40371 40627 40117 40480 40224 39861 40371 39896 40259 40515 40152 40627 40371 39852 40215 40471 40108 40627 40117 40480 40224 39861 1601 30 0.010877288999999735
16 40 31453 31195 30921 31179 31453 31116 31737 31479 31205 31463 31737 31363 31700 31442 31168 31426 31700 31281 31655 31397 31123 31381 31655 31318 31737 31479 31205 31463 31737 31363 31700 31442 31168 31426 31700 31281 31655 31397 31123 31381 31655 1601 24 0.010431488000000044
17 40 -358 -113 34191 33905 33523 33855 34178 34464 34141 33855 33306 33860 34183 34469 34146 33860 33528 33910 34196 33814 34146 33592 34141 34464 34178 33855 34141 33809 34191 33905 33523 33855 33306 33860 34183 34469 34146 33860 33528 33910 34196 1601 28 0.010649801000000014
