1 35 -353 -108 26757 26504 26188 26501 26754 26441 26757 26423 26736 26483 26170 26504 26757 26441 26754 26501 26188 26504 26170 26483 26736 26423 26757 26504 26188 26501 26754 26441 26757 26423 26736 26483 26170 26504 1226 24 0.009542836000000054
2 35 -45 29474 29152 29469 29087 29409 29092 29474 29068 29385 29063 29469 29152 29474 29092 29409 29087 29469 29063 29385 29068 29474 29152 29469 29087 29409 29092 29474 29068 29385 29063 29469 29152 29474 29092 29409 1226 21 0.009310815000000083
3 35 -311 -72 31298 30887 31288 30673 31084 30683 31298 30605 31006 30595 31288 30887 31298 30683 31084 30673 31288 30595 31006 30605 31298 30887 31288 30673 31084 30683 31298 30605 31006 30595 31288 30887 31298 30683 1226 22 0.009585683999999928
4 35 -274 -33 30384 30030 29586 30144 29584 30076 29518 30110 29618 30062 29470 30030 30384 29940 29586 30144 29584 30076 29518 30110 29618 30062 29470 30030 30384 29940 29586 30144 29584 30076 29518 30110 29618 30062 1226 16 0.009443054999999978
5 35 -327 -81 34731 34256 34612 34134 34609 34253 34731 34028 34384 33909 34612 34256 34731 34253 34609 34134 34612 33909 34384 34028 34731 34256 34612 34134 34609 34253 34731 34028 34384 33909 34612 34256 34731 34253 1226 22 0.009539868000000062
6 35 -287 -60 29704 29309 28906 29465 28999 29402 28929 29395 28992 29465 28986 29389 28923 29402 28999 29465 28992 29395 28929 29402 28923 29389 28986 29465 28999 29402 28929 29395 28992 29465 28986 29389 28923 29402 1226 25 0.009385049000000034
7 35 -480 -243 -20 30625 30277 30653 30262 30610 30234 30625 29781 30553 30929 30581 30205 30735 30344 30720 30190 30736 30360 30708 30162 30692 30344 30735 30205 30581 30929 30553 30205 29814 30360 30736 30190 30720 1226 35 0.009667672000000183
8 35 -738 -493 -250 -16 34668 34042 34729 33883 34678 33991 34617 33822 34766 34140 34647 33766 34612 34105 34731 33885 34766 34140 34647 33766 34612 34105 34731 33885 34766 34140 34647 33766 34612 34105 34731 33885 1226 20 0.009582678000000122
9 35 -362 -114 28767 28350 28780 28312 28729 28299 28767 28144 28574 28157 28780 28350 28767 28299 28729 28312 28780 28157 28574 28144 28767 28350 28780 28312 28729 28299 28767 28144 28574 28157 28780 28350 28767 28299 1226 22 0.009909492000000242
10 35 -149 28201 28474 28073 28511 28238 27830 28231 28504 28103 28511 28073 28474 28201 27800 28238 28511 28103 28504 28231 27830 28238 27800 28201 28474 28073 28511 28238 27830 28231 28504 28103 28511 28073 28474 28201 1226 23 0.009436532000000053
11 35 -796 -548 -311 -88 30421 30055 30445 29857 30375 30741 30351 29985 30375 29619 30445 30055 30421 29903 30491 30125 29537 30176 29393 30149 29510 30098 30488 29900 30418 30028 30394 29876 30464 30098 30488 29900 1226 33 0.009252585999999896
12 35 -49 28870 28603 28258 28525 28870 28422 28155 28603 28870 28374 28107 28603 28258 28525 28870 28603 28155 28422 28870 28374 28107 28603 28870 28525 28258 28603 28155 28422 28870 28603 28107 28374 28870 28525 28258 1226 21 0.009299366000000031
13 35 -816 -567 -330 -96 26923 26664 26338 26621 26880 26597 26923 26465 26935 26676 26350 26633 26892 26609 26935 26465 26923 26664 26338 26621 26880 26597 26923 26465 26935 26676 26350 26633 26892 26609 26935 26465 1226 20 0.00922646699999996
14 35 -514 -264 -18 30609 30358 30093 30355 30606 30344 30609 30139 30549 30811 30560 30298 30549 30284 30546 30811 30549 30139 30609 30358 30093 30355 30606 30344 30609 30139 30549 30811 30560 30298 30549 30284 30546 1226 21 0.009613834999999904
15 35 -275 -34 32222 31822 31233 31981 31392 31981 31106 31791 32191 31602 32191 31506 32148 31748 31159 31844 31202 31791 32191 31602 32191 31506 32148 31748 31159 31844 31202 31791 32191 31602 32191 31506 32148 31748 1226 19 0.009501108000000258
16 35 -412 -162 29742 29224 29659 29065 29583 29148 29742 29123 29558 29040 29659 29224 29742 29148 29583 29065 29659 29040 29558 29123 29742 29224 29659 29065 29583 29148 29742 29123 29558 29040 29659 29224 29742 29148 1226 22 0.00905717100000003
17 35 -334 -94 34791 34535 34172 34428 34791 34316 34060 34535 34791 34281 34025 34535 34172 34428 34791 34535 34060 34316 34791 34281 34025 34535 34791 34428 34172 34535 34060 34316 34791 34535 34025 34281 34791 34428 1226 22 0.009014539999999904
18 35 -672 -437 -203 29569 29843 29585 29311 29569 29232 29606 29880 29622 29348 29606 29187 29524 29798 29540 29266 29524 29150 29569 29843 29585 29311 29569 29232 29606 29880 29622 29348 29606 29187 29524 29798 29540 1226 21 0.008714639000000135
19 35 -454 -209 29383 29765 30051 29669 29383 28926 29308 29765 29383 28829 29511 29797 29340 29722 29436 29054 29511 28945 29499 29785 29328 29710 29424 29042 29499 28945 29511 29797 29340 29722 29436 29054 29511 28945 1226 28 0.009100604999999984
20 35 -328 -86 30363 30070 29615 29947 30270 30563 30240 29947 29398 30103 29771 30094 29434 29983 30315 30608 30285 29992 30315 29766 30221 30514 30191 29898 30221 29889 30182 30514 30221 29766 30315 30608 30285 29992 1226 32 0.00879702800000004
