119 32 0 2593 -20 424 0 1783 -10 424 -20 586 0 -22 -42 424 -56 -36 0 2593 -20 424 0 1783 -10 424 -20 586 0 -22 -42 424 -56 -36 0 1025 16 0.007653353000000029
126 32 0 5226 -28 495 2727 2232 3461 1229 1802 573 2805 2232 0 5226 -28 495 2727 2232 3461 1229 1802 573 2805 2232 0 5226 -28 495 2727 2232 3461 1229 1802 1025 12 0.007222004999999809
185 32 0 16056 -1 1338 0 -9 -10 1338 -11 -10 0 -21 -22 1338 -25 -24 0 16056 -1 1338 0 -9 -10 1338 -11 -10 0 -21 -22 1338 -25 -24 0 1025 16 0.0071085820000000854
195 32 0 3829 -5 1800 2853 1053 0 1800 -16 -11 0 -16 -21 1800 -22 -17 0 3829 -5 1800 2853 1053 0 1800 -16 -11 0 -16 -21 1800 -22 -17 0 1025 16 0.007075551000000013
198 32 0 3283 -30 1263 2930 1667 1889 222 1485 1263 0 1667 -5 575 0 3283 -30 1263 2930 1667 1889 222 1485 1263 0 1667 -5 575 0 3283 -30 1263 2930 1025 14 0.007341475000000042
293 32 0 8423 -8 2042 2433 391 0 2042 -35 -27 0 -45 -53 2042 -81 -73 0 8423 -8 2042 2433 391 0 2042 -35 -27 0 -45 -53 2042 -81 -73 0 1025 16 0.007050239000000014
371 32 0 5157 -17 1341 2962 3706 2365 1621 2962 -21 1609 1341 2085 3706 -51 -21 -4 1621 0 5157 -17 1341 2962 3706 2365 1621 2962 -21 1609 1341 2085 3706 -51 1025 18 0.007418303999999987
427 32 -70 1320 2516 3330 4103 3747 6152 6240 5467 7426 7338 6524 6612 7426 6462 8932 8844 8030 8118 8932 7736 7648 8844 6885 9020 9108 8294 8206 9020 7824 7912 9108 6973 1025 32 0.00700424299999991
430 32 -59 323 2807 2793 4044 3735 3820 2569 3573 4418 4727 4642 4333 4418 3414 4211 4126 3329 4333 3488 3952 2948 3793 4102 3638 4642 4727 4418 4333 4642 3797 4098 3789 1025 32 0.007164697999999969
507 32 0 2731 -4 1403 2359 956 0 1403 -20 -16 0 -20 -24 1403 -25 -21 0 2731 -4 1403 2359 956 0 1403 -20 -16 0 -20 -24 1403 -25 -21 0 1025 16 0.007087095999999793
556 32 0 7490 -4 2375 4809 6562 7309 5556 4809 2434 4187 6562 4128 4875 7309 4934 4187 1753 4128 2375 4809 6562 7309 5556 4809 2434 4187 6562 4128 4875 7309 4934 4187 1025 19 0.00713236500000014
