6 35 -326 -106 2143 3653 4338 2828 3935 4232 3547 3250 4209 3102 3787 2828 3420 2735 2143 3653 4338 2828 3935 4232 3547 3250 4209 3102 3787 2828 3420 2735 2143 3653 4338 2828 3935 4232 1226 16 0.010657568999999922
102 35 0 3200 -6 480 2589 2109 0 1393 1873 480 856 376 0 1349 -5 480 660 180 0 3200 -6 480 2589 2109 0 1393 1873 480 856 376 0 1349 -5 480 660 180 1226 18 0.010069662000000035
141 35 0 5022 -1 1674 0 -10 -11 1674 -30 -29 0 -30 -31 1674 -41 -40 0 5022 -1 1674 0 -10 -11 1674 -30 -29 0 -30 -31 1674 -41 -40 0 5022 -1 1674 1226 16 0.010567798000000073
259 35 0 4096 -13 691 2431 1740 3458 1718 2895 1177 2917 1740 2437 697 1388 691 2409 1718 0 4096 -13 691 2431 1740 3458 1718 2895 1177 2917 1740 2437 697 1388 691 2409 1718 1226 18 0.01486765499999998
295 35 0 5843 -1 922 3345 5607 5717 4795 4685 5607 3184 3294 5717 3455 3538 3428 3345 3821 2899 2423 4685 4795 5717 5607 4685 2262 3184 5607 3345 3455 5717 3294 3184 922 3345 3821 1226 33 0.009746758999999994
367 35 0 3200 -7 1914 3730 1816 3096 1280 3194 4037 2757 1914 3194 -6 3730 -8 2757 843 2123 4037 -26 -6 3096 1816 3730 1914 3194 4037 2757 1914 1933 19 0 3200 -7 1914 1226 28 0.009585534999999812
386 35 0 4286 -1 365 2508 2975 3394 3029 2610 2975 832 1251 3394 2927 2562 3029 886 1251 784 2927 2508 2975 3394 3029 2610 2975 832 1251 3394 2927 2562 3029 886 1251 784 2927 1226 20 0.010777015000000167
405 35 0 2817 -4 1193 2738 1545 0 1383 -4 1193 2198 1005 0 1193 -6 -2 0 2817 -4 1193 2738 1545 0 1383 -4 1193 2198 1005 0 1193 -6 -2 0 2817 -4 1193 1226 16 0.009582008999999836
644 35 0 13562 -4 2170 0 694 -4 2170 -11 -7 0 -8 -12 2170 -18 -14 0 13562 -4 2170 0 694 -4 2170 -11 -7 0 -8 -12 2170 -18 -14 0 13562 -4 2170 1226 16 0.009610008999999975
651 35 0 6209 -10 2129 4132 5012 3009 2129 3077 948 0 2225 -8 2129 2828 699 0 6209 -10 2129 4132 5012 3009 2129 3077 948 0 2225 -8 2129 2828 699 0 6209 -10 2129 1226 16 0.009776637000000088
657 35 0 2936 -4 1202 1865 663 0 1202 -24 -20 0 -24 -28 1202 -32 -28 0 2936 -4 1202 1865 663 0 1202 -24 -20 0 -24 -28 1202 -32 -28 0 2936 -4 1202 1226 16 0.009494745000000027
688 35 0 5258 -5 846 3219 4673 3827 2373 3219 -20 1509 3793 5247 4584 3738 4401 5247 2963 3182 2519 2300 4673 3827 2373 3219 4673 -27 2963 2300 4584 5247 4401 3738 4584 3130 3793 1226 31 0.0096265499999999
707 35 -218 2659 1898 4085 5918 7750 8909 7077 7407 6248 8080 7750 5917 7295 5463 7296 5918 7077 5244 7076 8909 7750 5918 6248 8080 7750 5917 7295 5463 7296 5918 7077 8909 7076 7406 6247 1226 27 0.010411798999999888
864 35 -387 -140 1418 3900 5131 3713 5964 7055 5824 6898 5807 7038 8049 6975 7815 6804 7878 7038 7819 6745 7756 6975 5964 7055 5824 6898 5807 7038 8049 6975 7815 6804 7878 7038 7819 6745 1226 22 0.009844964000000012
1153 35 0 4934 -6 509 2983 2474 0 2396 4239 4748 2905 3683 3174 2396 3676 1280 3123 1843 4239 -9 3174 778 2621 3130 2352 4748 4239 2396 3676 1280 3123 1843 4239 -9 3174 3683 1226 28 0.010089299999999968
1169 35 0 3678 -6 1440 3664 2224 0 1440 -2 225 0 -17 -23 1440 -31 -25 0 3678 -6 1440 3664 2224 0 1440 -2 225 0 -17 -23 1440 -31 -25 0 3678 -6 1440 1226 16 0.009729263000000099
1322 35 0 5231 -7 1481 3650 2169 3310 1141 2622 1481 3454 1973 0 2169 -5 339 1820 1481 3650 2169 3310 1141 2622 1481 3454 1973 0 5231 -7 1481 1820 339 0 2169 3650 1481 1226 22 0.011560873999999943
1342 35 0 3795 -4 1209 3038 3635 2426 1829 3038 3282 2073 1829 1936 3145 3038 -5 2457 3054 1845 1248 2457 2701 1492 1248 1355 2564 2457 1209 3038 3635 2426 1829 3038 3282 2073 1829 1226 27 0.009607366000000006
1367 35 0 6447 -19 1302 3719 2417 3955 1538 3796 2258 3705 1447 3864 2417 3725 1308 3566 4868 3560 4452 3150 4458 3566 2258 3796 1538 3955 2417 3864 1447 3705 2258 3560 4868 3566 4458 1226 35 0.009237618999999864
