1 4 0 1207 -36 3 0 1129 -33 3 -192 -156 0 -328 1207 -43 1129 -199 -156 65 15 0.0010194359999999847
5 4 -258 -15 1525 2528 1003 1224 221 0 3037 -23 1003 0 1525 -122 3037 -136 221 65 16 0.0007887290000001546
6 4 0 2256 -8 1641 0 -73 -81 1641 -231 -223 0 -338 2256 -84 -73 -307 -223 65 15 0.0008156310000000389
8 4 -223 -15 8360 0 2341 4422 2081 0 -58 -73 2081 -15 -57 4422 -115 -73 -223 65 16 0.0007831579999999505
12 4 -180 -17 3487 0 863 1538 675 0 -70 -87 863 -17 -35 1538 -105 -87 -180 65 16 0.0007717649999998688
18 4 -34 2453 0 3088 -55 250 0 -59 -114 250 -34 -136 -55 -216 -114 -195 -34 65 16 0.000765812999999893
19 4 -344 2936 1680 3999 2319 3575 1256 2936 -5 3999 -189 -79 6384 0 2319 -79 -313 65 16 0.0007726519999997628
20 4 -380 4415 4919 2918 2414 4415 2001 2505 4919 -432 -196 2505 504 2918 -288 -52 4674 65 16 0.0007727639999999258
21 4 0 6540 -17 2098 0 -68 -85 2098 -158 -141 0 -386 6540 -121 -68 -262 -141 65 15 0.00079096100000009
22 4 -76 0 1891 -103 1382 0 -86 -189 1382 -179 -76 -217 1891 -227 -86 -303 -76 65 16 0.0007766979999999091
24 4 -72 3450 3611 2421 2260 3450 1190 1351 3611 -224 -72 -25 11186 0 2260 -47 11186 65 16 0.0007758700000000118
25 4 -389 1914 3102 2773 1585 1914 329 1517 3102 -562 -366 1517 1188 2773 -369 -173 3927 65 16 0.0007821799999998547
26 4 -269 -32 10802 0 1593 2551 958 0 -20 -36 958 -16 10802 -237 -20 -52 1593 65 16 0.0007774750000000274
27 4 -235 2098 1990 3076 1086 1194 108 2098 -27 3076 -137 -66 4267 0 1990 -66 -235 65 16 0.0007724239999999938
28 4 -114 0 12485 -14 1649 0 -124 -138 1649 -128 -114 -220 12485 -230 -124 -344 -114 65 16 0.0007757939999999408
29 4 -90 2353 1496 0 3076 -29 1496 -13 1643 0 857 2353 -74 -13 -232 -29 -90 65 16 0.0007660359999999145
33 4 -219 5474 0 2277 -40 461 0 -106 -153 2277 -47 5474 -106 461 -212 -106 -219 65 16 0.0007906040000000836
34 4 -112 2689 1941 0 4834 -55 1941 -34 556 0 748 2689 -91 -34 -171 -55 -112 65 16 0.00076512899999992
35 4 -16 0 7649 -19 2271 0 -166 -185 2271 -35 -16 -80 7649 -230 -166 -246 -16 65 16 0.0007860319999999366
36 4 1209 751 0 1630 -20 751 -109 -89 0 458 1209 -45 -20 -198 -109 -134 1209 65 16 0.000763727999999908
38 4 -151 -17 6232 0 2017 3414 1397 0 -18 -35 2017 -17 -43 3414 -61 -35 -151 65 16 0.000774301999999949
40 4 -88 2310 2001 0 3855 -21 309 2310 -144 -21 -227 485 309 0 176 485 -88 65 16 0.0007820400000000394
