1 32 -429 -184 24870 25183 24930 24617 24870 24554 24867 25183 24849 24596 24930 24614 24867 24533 24849 24536 24870 24484 24933 24680 24364 24677 24930 24617 24933 24599 24912 24659 24346 24680 24231 1025 31 0.007574927000000065
2 32 -339 -94 26538 26221 25899 26348 25897 26219 26536 26214 25897 25448 25899 26216 26538 26087 26536 25994 26445 26128 25806 26348 25899 26221 26538 25996 26445 26123 25806 25357 26032 26354 25903 1025 32 0.007235466999999884
3 32 -436 -197 30588 30206 30612 29997 30379 29973 30669 30287 29594 30209 30615 30000 30382 29976 30669 29939 30554 30172 30578 29963 30345 29939 29557 30287 30669 29973 30588 30206 30612 29997 30379 1025 28 0.007369353999999939
4 32 -308 -91 28571 28925 28524 28170 28730 28319 28720 28276 28687 28286 28730 28138 28539 28893 28492 28138 27727 28319 28673 28229 28640 28286 27875 28319 28730 28170 28571 28925 28524 28170 27759 1025 29 0.007184154000000165
5 32 -543 -297 -59 25876 25520 25045 25603 24960 25452 25930 25438 25913 25435 25927 25452 25808 25316 25794 25438 24960 25435 25791 25316 24960 25603 25045 25537 25893 25401 25879 25523 25045 25520 1025 32 0.007378601000000096
6 32 -818 -576 -340 -108 31073 30594 31060 30501 30980 30514 31073 30370 31087 30608 31074 30515 30994 30528 31087 29917 30679 31145 31548 31082 30679 30200 30903 31306 30747 31226 30823 31289 30810 1025 32 0.007390275999999973
7 32 -472 -235 -9 27869 27474 27865 27392 27938 27547 27001 27674 27063 27677 27004 27615 27001 27474 26863 27536 27931 27458 27849 27454 27927 27536 27063 27609 26936 27550 27941 27395 27868 27477 1025 32 0.008402867000000036
8 32 -667 -422 -192 28886 29234 28858 28510 28886 28356 28863 29211 28835 28487 28863 28230 28760 29108 28732 28384 28760 28253 28886 29234 28858 28510 28886 28356 28863 29211 28835 28487 28863 28230 1025 21 0.00730142899999997
9 32 -397 -149 30491 29865 30552 29887 30513 29847 30512 29886 30552 29706 30587 29922 30548 29882 30547 29921 30587 29900 30526 29861 30548 29667 30513 29887 30552 29886 30512 29847 30513 29826 30491 1025 32 0.007449219999999812
10 32 -147 27174 26757 26327 26950 26482 26912 26289 26757 26095 26718 27135 26705 26288 26950 26210 26640 27057 26627 26210 25742 26482 26950 26327 26757 27174 26744 26327 25859 26482 26912 26289 26757 1025 29 0.007244109000000165
11 32 -196 25544 25271 24905 25178 25544 25143 25551 25278 24912 25185 25551 25068 25506 25233 24867 25268 25541 25140 25506 25098 25499 25226 24860 25268 24830 25196 25469 25103 25541 25133 25499 25061 1025 32 0.007283974999999998
12 32 -628 -380 -143 27720 27204 27792 27274 27790 27202 27720 27081 27669 28059 27543 27153 27792 27036 27552 27942 27426 27036 26518 27435 26847 27365 27755 27237 27753 27363 26847 27237 26598 27395 1025 32 0.007449906999999811
13 32 -376 -128 27800 27533 27188 27455 27800 27352 27085 27533 27037 27304 27800 27282 27015 27533 26756 27597 27864 27519 27252 27597 27149 27416 27864 27368 27101 27597 27079 27346 27864 27023 27800 1025 32 0.00764386199999989
14 32 -201 24862 24603 24277 24536 24862 24490 24871 24612 24286 24545 24871 24401 24859 24600 24274 24646 24265 24591 24850 24524 24265 23893 24363 24622 24164 24545 24286 24612 24871 24545 24075 24533 1025 32 0.007179940000000107
15 32 -300 -59 27655 27404 27142 27393 27655 27390 27139 27404 27121 27372 27655 27185 26934 27404 26689 27369 27620 27358 27107 27369 27104 27355 27620 27337 27086 27369 26899 27150 27620 26940 27655 1025 32 0.007333295999999878
16 32 -405 -164 28084 27684 27274 27674 28084 27565 27165 27684 27118 27518 28084 27498 27098 27684 27095 27495 28084 27399 26999 27684 28084 27674 27274 27684 27165 27565 28084 27518 27118 27684 27098 1025 32 0.007529317000000146
17 32 -525 -281 -42 31267 30832 30243 31005 30386 31028 30356 30993 30351 31023 30386 30975 30303 30945 30356 30975 30333 31005 30076 30885 30266 30908 30236 30873 30231 30903 30266 30855 30183 30825 1025 32 0.007690548000000019
18 32 -333 -102 27496 27133 26658 27177 26659 27134 27497 27022 26659 26140 26658 27021 27496 26978 27497 26903 27421 27058 26583 27177 26658 27133 27496 26902 27421 26946 26583 26065 26969 26450 26968 1025 32 0.0072687230000001435
